Reference number,AWB,Company,Store,Recipient Name,Company Payment Type,Delivering City,Delivering Area,Shipment Details,Zones,Cash on Delivery,Returned With Fees,Exp Delivery Fees,Shipment Status,Creation Date,Distribution Center Date,AssignTo Courier Date,Acctual Delivering Date,COD Collection Date,Company Settlement Date
3137F,24040458000086,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,حي الامير محمد ,بيربري هيرو رجالي ١٠٠/ سوفاج ١٠٠/ ارماني كود ١٠٠,Z - 1,40,,2.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 12:09:19 PM,4/2/2024 7:54:23 PM,4/3/2024 2:03:41 AM,4/3/2024 11:59:34 AM
3138F,24040458000087,mango perfume,mango perfume,.,Pay After Delivery,Aqaba,العقبة,ليبر ١٠٠/ لاسيكرت ١٠٠مل /٢١٢ سكسي ستاتي١٠٠/ شانيل نمبر فايف ٥٠,S - A,30,,2.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 10:48:37 AM,4/2/2024 6:37:16 PM,4/3/2024 5:35:37 AM,4/3/2024 11:59:34 AM
3139F,24040458000088,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,حي الحسين,ميستر بيربري انديجو ١٠٠/لاكوست شالينج رجالي ١٠٠/ديور هوم ١٠٠,RTN,40,,2.75,Item Returned To Company Completed,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 12:09:19 PM,,,4/3/2024 11:59:34 AM
31310F,24040458000089,mango perfume,mango perfume,.,Pay After Delivery,Amman,الجندويل,سكلبشر ١٠٠,E,17,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 12:20:34 PM,4/2/2024 2:56:06 PM,4/3/2024 1:06:48 AM,4/3/2024 11:59:34 AM
31311F,24040458000090,mango perfume,mango perfume,.,Pay After Delivery,Amman,الاستقلال,هوقو بوس ١٠٠/ دنهل بلو ١٠٠/سوفاج ١٠٠,F,40,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/3/2024 4:05:06 PM,4/3/2024 4:57:10 PM,4/4/2024 12:35:40 AM,4/4/2024 1:58:58 PM
31312F,24040458000091,mango perfume,mango perfume,.,Pay After Delivery,Irbid,مخيم الحصن ,هج سنت ١٠٠,Q 1,0,,2.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:18:58 AM,4/2/2024 12:49:28 PM,4/2/2024 4:36:29 PM,4/2/2024 11:14:33 PM,4/3/2024 11:59:34 AM
31313F,24040458000092,mango perfume,mango perfume,.,Pay After Delivery,Amman,جبل عمان,دولتشي كنغ ١٠٠/اكوا جيو ١٠٠/ عود اصفهان ١٠٠,C 3,40,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 11:54:26 AM,4/2/2024 5:26:56 PM,4/3/2024 12:25:03 AM,4/3/2024 11:59:34 AM
31314F,24040458000093,mango perfume,mango perfume,.,Pay After Delivery,Amman,شفا بدران,بلو شانيل ١٠٠,J,0,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/3/2024 11:16:20 AM,4/3/2024 9:02:04 PM,4/4/2024 1:13:10 AM,4/4/2024 1:58:58 PM
31315F,24040458000094,mango perfume,mango perfume,.,Pay After Delivery,Amman,القويسمة,بلاك افغانو ١٠٠,C 2,17,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 11:57:46 AM,4/2/2024 2:09:24 PM,4/3/2024 1:14:44 AM,4/3/2024 11:59:34 AM
31316F,24040458000095,mango perfume,mango perfume,.,Pay After Delivery,Amman,المقابلين,ليبر ١٠٠,P,17,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 11:36:37 AM,4/2/2024 1:16:23 PM,4/2/2024 9:55:42 PM,4/3/2024 11:59:34 AM
31317F,24040458000096,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء,سايد ايفكت انيشو ١٠٠/توم فورد توباكو فانيلا ١٠٠,Z - 1,25,,2.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/3/2024 10:42:59 AM,4/3/2024 3:22:06 PM,4/4/2024 1:24:47 AM,4/4/2024 1:58:58 PM
31318F,24040458000097,mango perfume,mango perfume,.,Pay After Delivery,Amman,خلدا,دنهل ايكون ١٠٠ مل عدد ٢/ لاكوست وايت ١٠٠/لاكوست سبورت ١٠٠,E,50,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 12:20:34 PM,4/2/2024 10:02:48 PM,4/3/2024 1:06:48 AM,4/3/2024 11:59:34 AM
31319F,24040458000098,mango perfume,mango perfume,.,Pay After Delivery,Amman,حي عدن,دولتشي كنغ ١٠٠,C 1,17,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 11:57:46 AM,4/2/2024 8:33:07 PM,4/3/2024 1:14:44 AM,4/3/2024 11:59:34 AM
31320F,24040458000099,mango perfume,mango perfume,.,Pay After Delivery,Amman,خلدا,سبايس بومب اكستريم ١٠٠ عدد ٢/فهرنهايت ١٠٠,E,40,,1.75,Cod Collected,4/2/2024 8:46:32 AM,4/2/2024 9:24:22 AM,4/2/2024 12:20:34 PM,4/2/2024 10:41:53 PM,4/3/2024 1:06:48 AM,4/3/2024 11:59:34 AM
141t,24040458000100,mango perfume,mango perfume,,Pay After Delivery,Amman,جبل النصر,,C 1,0,,1.75,Cod Collected,4/2/2024 12:47:02 PM,4/2/2024 12:47:12 PM,4/2/2024 12:47:25 PM,4/2/2024 6:33:34 PM,4/2/2024 9:35:46 PM,4/3/2024 11:59:34 AM
r0776479383,24040458000101,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/2/2024 2:35:30 PM,4/2/2024 2:35:36 PM,4/2/2024 2:35:48 PM,,,
R31312F,24040458000102,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/2/2024 4:30:18 PM,4/2/2024 4:30:29 PM,4/2/2024 4:30:57 PM,,,
R3133F,24040458000103,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/2/2024 4:52:29 PM,4/2/2024 4:52:38 PM,4/2/2024 4:53:06 PM,,,
r3132t,24040458000104,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/2/2024 5:42:50 PM,4/2/2024 5:42:56 PM,4/2/2024 5:43:08 PM,,,
r30318F,24040458000105,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/2/2024 5:53:01 PM,4/2/2024 5:53:07 PM,4/2/2024 5:53:19 PM,,,
r3131t,24040458000106,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/2/2024 6:18:46 PM,4/2/2024 6:18:52 PM,4/2/2024 6:19:06 PM,,,
142t,24040458000107,mango perfume,mango perfume,.,Pay After Delivery,Amman,اليادودة,١٠٠ مل يو / ١٠٠ مل دولتشي غابانا ذا اونلي ون/١٠٠ مل فيرزاتشي ايروس ,G,0,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/4/2024 10:36:50 AM,4/4/2024 8:20:12 PM,4/4/2024 8:29:59 PM,4/6/2024 1:25:40 PM
143t,24040458000108,mango perfume,mango perfume,.,Pay After Delivery,Tafilah,الطفيلة,كلهم ١٠٠ مل / شانيل مودموزيل/ فيرزاتشي ايروس,S - T,27,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:32:57 AM,4/3/2024 6:39:24 PM,4/4/2024 12:36:02 PM,4/4/2024 1:58:58 PM
144t,24040458000109,mango perfume,mango perfume,.,Pay After Delivery,Amman,الجندويل,كلهم ١٠٠ مل / كريد افينيوس /يو / مونت بلانك,E,40,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:51:30 AM,4/3/2024 3:54:07 PM,4/3/2024 9:20:18 PM,4/4/2024 1:58:58 PM
145t,24040458000110,mango perfume,mango perfume,.,Pay After Delivery,Amman,ماركا الجنوبية,١٠٠ مل سوفاج /١٠٠ مل ميسزز ديور,C 1,27,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 10:30:33 AM,4/3/2024 2:11:15 PM,4/4/2024 12:35:40 AM,4/4/2024 1:58:58 PM
146t,24040458000111,mango perfume,mango perfume,.,Pay After Delivery,Madaba,مادبا,١٠٠ مل فيرزاتشي ايروس/ ١٠٠ مل اكوا دي جيو /٥٠ مل ,N,30,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 5:53:50 PM,4/3/2024 6:02:55 PM,4/3/2024 9:47:39 PM,4/4/2024 1:58:58 PM
147t,24040458000112,mango perfume,mango perfume,.,Pay After Delivery,Amman,العبدلي,50مل bvlari// ٥٠ مل كريد افينيوس ,C 3,20,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:23:08 AM,4/4/2024 12:23:24 AM,4/4/2024 1:15:41 AM,4/4/2024 1:58:58 PM
148t,24040458000113,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,١٠٠ مل سبايسي بومب ,F,17,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:14:55 AM,4/3/2024 6:19:08 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
149t,24040458000114,mango perfume,mango perfume,.,Pay After Delivery,Amman,العبدلي,٢١٢ سكسي مان //سوفاج / كلهم ١٠٠ مل,C 3,27,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:23:08 AM,4/3/2024 4:41:55 PM,4/4/2024 1:15:41 AM,4/4/2024 1:58:58 PM
1410t,24040458000115,mango perfume,mango perfume,.,Pay After Delivery,Amman,الشميساني,١٠٠ مل اكوا دي جيو / ١٠٠ مل انتينسيو ,C 3,25,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:23:08 AM,4/3/2024 7:21:37 PM,4/4/2024 1:15:41 AM,4/4/2024 1:58:58 PM
1411t,24040458000116,mango perfume,mango perfume,.,Pay After Delivery,Aqaba,العقبة,١٠٠ مل ليبرا /١٠٠ مل ديلينا /١٠٠ مل توم فورد امبر لذر ,S - A,40,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 10:36:02 AM,4/3/2024 10:33:03 PM,4/4/2024 11:41:08 AM,4/4/2024 1:58:58 PM
1412t,24040458000117,mango perfume,mango perfume,.,Pay After Delivery,Amman,العبدلي,كله ١٠٠ مل سوفاج /١٠٠ مل ون ميليون لاكي,C 3,27,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:23:08 AM,4/3/2024 4:37:45 PM,4/4/2024 1:15:41 AM,4/4/2024 1:58:58 PM
1413t,24040458000118,mango perfume,mango perfume,.,Pay After Delivery,Amman,وسط البلد,١٠٠ مل انفيكتوس,C 2,17,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 1:24:33 PM,4/3/2024 1:39:05 PM,4/4/2024 1:00:45 AM,4/4/2024 1:58:58 PM
1414t,24040458000119,mango perfume,mango perfume,.,Pay After Delivery,Amman,شارع مكة,١٠٠ مل سكلبتشر ,K,17,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/4/2024 10:44:47 AM,4/4/2024 2:44:13 PM,4/6/2024 12:55:56 AM,4/6/2024 1:25:40 PM
1415t,24040458000120,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,١٠٠ مل روبيرتو كافالي باراديسو ,H,17,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:33:17 PM,4/3/2024 11:33:32 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
1416t,24040458000121,mango perfume,mango perfume,.,Pay After Delivery,Amman,ماركا الشمالية,١٠٠ مل كلهم / 212vip رجالي // اكوا دي جيو الابيض,C 1,27,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 10:30:33 AM,4/3/2024 3:30:29 PM,4/4/2024 12:35:40 AM,4/4/2024 1:58:58 PM
1417t,24040458000122,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,كله ١٠٠ مل / لاكوست وايت / اكوا دي جيو / فيرزاتشي ايروس ,F,40,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:14:55 AM,4/3/2024 1:38:20 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
1418t ,24040458000123,mango perfume,mango perfume,.,Pay After Delivery,Irbid,جامعة اليرموك,كله ١٠٠ مل //وسام الاسود / توم فورد بلاك اوركيد,Q 8,0,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 6:58:43 AM,4/3/2024 12:07:27 PM,4/3/2024 10:14:56 PM,4/3/2024 11:23:28 PM,4/4/2024 1:58:58 PM
1419t,24040458000124,mango perfume,mango perfume,.,Pay After Delivery,Russeifa,الرصيفة,١٠٠ مل سوفاج بيور,R,17,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/5/2024 3:09:09 AM,4/5/2024 6:21:18 PM,4/6/2024 3:16:21 AM,4/6/2024 1:25:40 PM
1420t,24040458000125,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,3علب ١٠٠ مل بيربري هيرت / ١٠٠ مل بودي بيربري/ ٢ ١٠٠ مل ليبرا ,,80,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 6:58:43 AM,4/3/2024 12:07:27 PM,4/3/2024 2:56:57 PM,4/3/2024 11:23:28 PM,4/4/2024 1:58:58 PM
1421t,24040458000126,mango perfume,mango perfume,.,Pay After Delivery,Amman,الجبيهة,١٠٠ مل غوتشي اند غابانا ذا اونلي ون/١٠٠ مل امبر ليذر ,I,27,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:37:35 AM,4/3/2024 11:47:43 PM,4/4/2024 1:31:52 AM,4/4/2024 1:58:58 PM
1422t,24040458000127,mango perfume,mango perfume,.,Pay After Delivery,Amman,ضاحية الامير حسن,١٠٠ مل مونت بلانك ام بليم / ١٠٠ مل اكوا جيو ارماني/١٠٠ مل بلاك اوركيدا ,F,40,,1.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 11:14:55 AM,4/3/2024 6:16:49 PM,4/4/2024 12:35:40 AM,4/4/2024 1:58:58 PM
1423t,24040458000128,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الزرقاء,١٠٠ مل الترا ميل /١٠٠ مل اكوا جيو ارماني,Z - 1,27,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 2:08:52 PM,4/3/2024 2:10:49 PM,4/4/2024 1:24:47 AM,4/4/2024 1:58:58 PM
1424t,24040458000129,mango perfume,mango perfume,.,Pay After Delivery,Russeifa,الرصيفة,كله ١٠٠ مل //روز فانيلا / كريد سلفر / لويس فينتوس امبر لذر ,R,40,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 10:48:44 AM,4/3/2024 9:31:08 PM,4/4/2024 1:27:32 AM,4/4/2024 1:58:58 PM
1425t,24040458000130,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,الهاشمية,١٠٠ مل سوفاج ,Z - 1,17,,2.75,Cod Collected,4/3/2024 3:45:19 AM,4/3/2024 8:31:07 AM,4/3/2024 10:42:59 AM,4/3/2024 12:39:10 PM,4/4/2024 1:24:47 AM,4/4/2024 1:58:58 PM
141F,24040458000131,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,فرزاتشي مان ١٠٠/بيربري تتش رجالي ١٠٠,,25,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:43 AM,4/3/2024 12:17:31 PM,4/3/2024 8:08:47 PM,4/3/2024 10:59:53 PM,4/4/2024 1:58:58 PM
142F,24040458000132,mango perfume,mango perfume,.,Pay After Delivery,Amman,طبربور,كركو مدموزيل ١٠٠/ جادور ١٠٠,H,25,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:17:00 AM,4/3/2024 11:41:03 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
143F,24040458000133,mango perfume,mango perfume,.,Pay After Delivery,Madaba,مادبا,ايروس ١٠٠/ سوفاج ١٠٠/ كوكو مدموزيل ١٠٠,RTN,40,,1.75,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:00:21 AM,,,
144F,24040458000134,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,شانيل نمبر فايف ١٠٠/ ديور هوم تنتنس ١٠٠,F,0,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:14:55 AM,4/3/2024 1:08:21 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
145F,24040458000135,mango perfume,mango perfume,.,Pay After Delivery,Amman,العبدلي,بلاك افغانو ١٠٠,C 3,17,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/4/2024 2:29:24 PM,4/5/2024 12:28:50 AM,4/6/2024 12:57:24 AM,4/6/2024 1:25:40 PM
146F,24040458000136,mango perfume,mango perfume,.,Pay After Delivery,Mafraq,الحمرا,يو ١٠٠/ مونت بلانك ليجند ١٠٠,N-X,25,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:44 AM,4/3/2024 5:33:34 PM,4/3/2024 6:44:04 PM,4/3/2024 8:51:08 PM,4/4/2024 1:58:58 PM
147F,24040458000137,mango perfume,mango perfume,.,Pay After Delivery,Amman,البنيات,جفنشي اريستبل ١٠٠/ ايس ٢١٢ ستاتي ١٠٠,O,25,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 10:05:22 AM,4/3/2024 8:46:22 PM,4/3/2024 9:45:08 PM,4/4/2024 1:58:58 PM
148F,24040458000138,mango perfume,mango perfume,.,Pay After Delivery,Salt,السلط,هوجو بوس الاسود ١٠٠/ ليبر ١٠٠/ بلاك اوبيوم ٥٠,M,30,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 10:45:44 AM,4/3/2024 1:30:28 PM,4/3/2024 9:06:56 PM,4/4/2024 1:58:58 PM
149F,24040458000139,mango perfume,mango perfume,.,Pay After Delivery,Irbid,حوارة,واي اف سان لوران ١٠٠ عدد ٢,Q 9,0,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 12:02:09 PM,4/3/2024 4:02:42 PM,4/3/2024 8:57:19 PM,4/4/2024 1:58:58 PM
1410F,24040458000140,mango perfume,mango perfume,.,Pay After Delivery,Irbid,بيت راس,كوكو مدموزيل ٥٠/ ليبر انتنس ٥٠/ سكاندل ٥٠,Q 6,23,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:44 AM,4/3/2024 7:53:00 PM,4/3/2024 8:00:39 PM,4/3/2024 9:20:49 PM,4/4/2024 1:58:58 PM
1411F,24040458000141,mango perfume,mango perfume,.,Pay After Delivery,Amman,ضاحية الامير حسن,دنهل بلو ١٠٠,RTN,17,,1.5,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/5/2024 3:27:40 AM,,,
1412F,24040458000142,mango perfume,mango perfume,.,Pay After Delivery,South Aghwar,الشونة الجنوبية,باتشولي امبريال ١٠٠/ يو انتنس ١٠٠,RTN,25,,1.75,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/8/2024 11:22:46 AM,,,
1413F,24040458000143,mango perfume,mango perfume,.,Pay After Delivery,Madaba,ذيبان,سوفاج ١٠٠,N,17,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/4/2024 10:37:48 AM,4/4/2024 7:53:19 PM,4/5/2024 1:39:20 AM,4/6/2024 1:25:40 PM
1414F,24040458000144,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,ايفوريا كلفن كلاين رجالي ١٠٠ عدد ٢,F,27,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:14:55 AM,4/3/2024 9:22:58 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
1415F,24040458000145,mango perfume,mango perfume,.,Pay After Delivery,Amman,عبدون,مونت بلانك ليجند ١٠٠/ يو انتنسلي ١٠٠,K,27,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:04:18 AM,4/3/2024 4:49:15 PM,4/4/2024 12:26:59 AM,4/4/2024 1:58:58 PM
1416F,24040458000146,mango perfume,mango perfume,.,Pay After Delivery,Amman,خلدا,بلاك اوبيوم ١٠٠/مانسيرا روز فانيلا ١٠٠,E,27,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:07 AM,4/3/2024 11:51:30 AM,4/3/2024 6:38:34 PM,4/3/2024 9:20:18 PM,4/4/2024 1:58:58 PM
1417F,24040458000147,mango perfume,mango perfume,.,Pay After Delivery,Amman,الاستقلال,بيربري هيرو رجالي ١٠٠/ انا الابيض ١٠٠/يو ابسليوت ١٠٠,RTN,40,,1.5,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/4/2024 11:08:57 AM,,,
1418F,24040458000148,mango perfume,mango perfume,.,Pay After Delivery,Amman,الاستقلال,هج سنت ١٠٠/ بلاك افغانو ١٠٠,RTN,27,,1.5,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/6/2024 11:50:11 AM,,,
1419F,24040458000149,mango perfume,mango perfume,.,Pay After Delivery,Irbid,البارحة,دنهل ايكون ١٠٠/ مونت بلانك ليجند انتنس١٠٠/بيربري هير ١٠٠,Q 10,40,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:44 AM,4/3/2024 11:47:34 AM,4/3/2024 2:18:25 PM,4/3/2024 8:47:00 PM,4/4/2024 1:58:58 PM
1420F,24040458000150,mango perfume,mango perfume,.,Pay After Delivery,Amman,الهاشمي الشمالي,سوفاج ١٠٠ مل عدد ٤/كلوب دي نوت ١٠٠ عدد ٢/اكوا جيو بروفومو١٠٠,F,75,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 11:14:55 AM,4/3/2024 12:47:34 PM,4/4/2024 12:57:07 AM,4/4/2024 1:58:58 PM
a1421F,24040458000151,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,جورجيو ارماني اتتيود ١٠٠,,1,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:44 AM,4/3/2024 12:17:31 PM,4/3/2024 3:25:36 PM,4/3/2024 10:59:53 PM,4/4/2024 1:58:58 PM
a1422F,24040458000152,mango perfume,mango perfume,.,Pay After Delivery,Amman,الدوار الثامن,جوتشي جلتي ايسليوت ستاتي ٥٠,E,12,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 11:51:30 AM,4/3/2024 1:29:16 PM,4/3/2024 9:20:18 PM,4/4/2024 1:58:58 PM
a1423F,24040458000153,mango perfume,mango perfume,.,Pay After Delivery,Amman,شارع مكة,واي اف سان لوران ١٠٠/ يو ١٠٠/ ون مليون كولجين ٥٠,K,32,,1.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 11:04:18 AM,4/3/2024 1:59:16 PM,4/4/2024 12:26:59 AM,4/4/2024 1:58:58 PM
a1424F,24040458000154,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,حي رمزي,سوفاج ١٠٠/ بلاك افغانو ١٠٠/ لافي بيل ١٠٠/ بيربري هير ١٠٠/ ليبر انتنس١٠٠,Z - 1,60,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 10:42:59 AM,4/3/2024 2:56:14 PM,4/4/2024 1:24:47 AM,4/4/2024 1:58:58 PM
a1425F,24040458000155,mango perfume,mango perfume,.,Pay After Delivery,Salt,السلط,ليبر ١٠٠/ روبورتو كفالي١٠٠,M,27,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 10:45:44 AM,4/3/2024 3:52:12 PM,4/3/2024 9:06:56 PM,4/4/2024 1:58:58 PM
1426F,24040458000156,mango perfume,mango perfume,.,Pay After Delivery,Irbid,اربد,جفنشي لانترد السوده ٥٠/ جفنشي لانترد ٥٠/ سكادا ٥٠,,22,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 6:58:44 AM,4/6/2024 2:54:18 PM,4/6/2024 7:06:17 PM,4/7/2024 2:35:51 AM,4/7/2024 12:30:46 PM
a1427F,24040458000157,mango perfume,mango perfume,.,Pay After Delivery,Salt,السلط,دولتشي دا ون ١٠٠/ فرزاتشي إيروس ١٠٠/ ايلين ١٠٠/ماي بيربري ستاتي١٠٠,M,45,,2.75,Cod Collected,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/3/2024 10:45:44 AM,4/3/2024 5:45:27 PM,4/3/2024 9:06:56 PM,4/4/2024 1:58:58 PM
a1428F,24040458000158,mango perfume,mango perfume,.,Pay After Delivery,Zarqa,جبل طارق,سوفاج ١٠٠ عدد ٢/ هديه,RTN,27,,1.75,Item Returned To Company Completed,4/3/2024 3:45:20 AM,4/3/2024 8:31:08 AM,4/7/2024 12:20:40 PM,,,
R141t,24040458000159,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/3/2024 4:22:01 AM,4/3/2024 5:03:54 AM,,,,
R144F,24040458000160,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,RTN,0,,1.5,Item Returned To Company Completed,4/3/2024 1:09:12 PM,4/3/2024 1:09:18 PM,4/3/2024 1:09:31 PM,,,
R3138F,24040458000161,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/3/2024 1:13:16 PM,4/3/2024 1:14:05 PM,,,,
Ra1421F,24040458000162,mango perfume,mango perfume,,Pay After Delivery,Amman,ابو علندا,,C 2,0,,1.5,Item Returned To Company Completed,4/3/2024 3:17:13 PM,4/3/2024 3:17:35 PM,4/3/2024 3:17:54 PM,,,
